client,field,blank_rate,note
chitaro_client,SiteID,0.17%,
chitaro_client,ID,0.00%,
chitaro_client,Surname,2.46%,
chitaro_client,GivenNames,2.18%,
chitaro_client,KnownAsName,2.29%,
chitaro_client,GenderID,4.47%,
chitaro_client,Address,7.71%,
chitaro_client,City,13.28%,
chitaro_client,RegistrationDate,0.60%,
chitaro_client,DateOfBirth,4.45%,
chitaro_client,AgeGroupID,4.45%,
chitaro_client,RebatedRentAmount,0.00%,
chitaro_client,CRN,9.52%,
chitaro_client,CountryID,10.66%,
chitaro_client,LanguageID,22.80%,
chitaro_client,ProficiencyEnglishSpokenID,22.60%,
chitaro_client,ProficiencyEnglishWrittenID,28.71%,
chitaro_client,ReferralID,16.90%,
chitaro_client,ArrearsActionFlag,0.00%,
chitaro_client,ArrearsSince,97.51%,
chitaro_client,PrimaryTenant,0.00%,
chitaro_client,ParentID,98.88%,
chitaro_client,RelationshipID,99.23%,
chitaro_client,AustralianResident,0.00%,
chitaro_client,Active,0.00%,
chitaro_client,Alert,0.00%,
chitaro_client,ThresholdRent,0.00%,
chitaro_client,NextOfKinName,55.41%,
chitaro_client,NextOfKinAddress,65.94%,
chitaro_client,NextOfKinCity,67.07%,
chitaro_client,NextOfKinState,100.00%,
chitaro_client,NextOfKinPostcode,100.00%,
chitaro_client,NextOfKinRelationshipID,63.69%,
chitaro_client,NextOfKinPhone,60.28%,
chitaro_client,HousingAreaID,84.51%,
chitaro_client,HousingSituationID,72.68%,
chitaro_client,HousingLengthWeeks,0.00%,
chitaro_client,HousingReasonID,77.25%,
chitaro_client,HousingMoves,0.00%,
chitaro_client,HousingBefore,0.00%,
chitaro_client,HousingAssessmentID,93.02%,
chitaro_client,DateEntered,0.00%,
chitaro_client,DateLastChanged,0.00%,
chitaro_client,LastUpdatedBy,0.00%,
chitaro_client,Comments,0.28%,
chitaro_client,AboriginalityID,153.72%,photo unclear/value appears over 100%
chitaro_client,DHSReg,26.12%,
chitaro_client,DisabilityID,0.00%,
chitaro_client,EmploymentID,0.05%,
chitaro_client,Email,0.59%,
chitaro_client,TargetGroupID,87.40%,
chitaro_client,RentAssistanceID,0.55%,
chitaro_client,ContactPhone1,45.44%,
chitaro_client,ContactPhone2,89.41%,from clearer overlap image
chitaro_client,Title,3.15%,
chitaro_client,CarOwner,0.00%,
chitaro_client,NextOfKinName2,97.82%,
chitaro_client,NextOfKinAddress2,98.98%,
chitaro_client,NextOfKinCity2,99.08%,
chitaro_client,NextOfKinRelationshipID2,98.33%,
chitaro_client,NextOfKinPhone2,98.08%,
chitaro_client,AboriginalorTSI,0.00%,
chitaro_client,Centrelink,0.00%,
chitaro_client,NDCAConsent,0.00%,
chitaro_client,HousePathID,0.00%,
chitaro_client,SupportWorkerID,0.00%,
chitaro_client,NDCAConsentDate,48.92%,
chitaro_client,HomelessCityID,100.00%,
chitaro_client,ChildStudent,0.00%,
chitaro_client,SouthSeaIslander,0.00%,
chitaro_client,Include,0.00%,
chitaro_client,OOHWaitListNum,62.44%,
chitaro_client,CentrepayDeduction,0.00%,
chitaro_client,CRAChanges,0.00%,
chitaro_client,GoFM,0.00%,
chitaro_client,VFN,100.00%,
chitaro_client,ProofID,0.00%,
chitaro_client,ProofIncome,0.00%,
chitaro_client,ExFile,0.00%,
chitaro_client,ConnectCommunity,0.00%,
chitaro_client,PrimaryOccupant,0.00%,
chitaro_client,IDNeed,0.00%,
chitaro_client,PriorEviction,0.00%,
chitaro_client,LeaseTerminated,0.00%,
chitaro_client,IndIncome,0.00%,
chitaro_client,EligibilityAssessID,100.00%,
chitaro_client,EligibilityComments,100.00%,
chitaro_client,HistoryComments,100.00%,
chitaro_client,PreviousTitle1,100.00%,
chitaro_client,PreviousSurname1,100.00%,
chitaro_client,PreviousGivenNames1,100.00%,
chitaro_client,PreviousKnownAsName1,100.00%,
chitaro_client,PreviousTitle2,100.00%,
chitaro_client,PreviousSurname2,100.00%,
chitaro_client,PreviousGivenNames2,100.00%,
chitaro_client,PreviousKnownAsName2,100.00%,
chitaro_client,PostalAddress,100.00%,
chitaro_client,PostalCityID,7.55%,
chitaro_client,HSA,10.69%,
chitaro_client,NextOfKinComments,100.00%,
chitaro_client,NextOfKinComments2,97.62%,
chitaro_client,CoOpMember,99.68%,
chitaro_client,GuardianOfMinister,0.00%,
chitaro_client,CHCR,0.00%,
chitaro_client,ProofOfIncome,100.00%,
chitaro_client,RedCross,0.00%,
chitaro_client,BoatID,100.00%,
chitaro_client,WorkRights,0.00%,from clearer overlap image
chitaro_client,StudyRights,0.00%,
chitaro_client,ArrivalDate,100.00%,
chitaro_client,ProtectionLodgedDate,100.00%,
chitaro_client,VisaTypeID,100.00%,
chitaro_client,VisaStatusID,100.00%,
chitaro_client,VisaExpiryDate,100.00%,
chitaro_client,ReligionID,100.00%,
chitaro_client,DeterminationID,100.00%,
chitaro_client,BandID,99.97%,
chitaro_client,ACCRISID,99.53%,
chitaro_client,ConfirmationComment,46.61%,
chitaro_client,NZResident,0.00%,
chitaro_client,EthnicityID,100.00%,
chitaro_client,CSC,100.00%,
chitaro_client,AccomSupplementID,100.00%,
chitaro_client,NZSuburb,100.00%,
chitaro_client,NZTown,100.00%,
chitaro_client,Preferred,0.00%,
chitaro_client,Legal,100.00%,
chitaro_client,SecondName,96.74%,
chitaro_client,NHI,100.00%,
chitaro_client,BankAccount,100.00%,
chitaro_client,CaseID,100.00%,
chitaro_client,ApplyDisability,0.00%,
chitaro_client,ExceptionalDisability,0.00%,
chitaro_client,SingleNewstart,0.00%,
chitaro_client,OldRent,100.00%,
chitaro_client,OldCRA,100.00%,
chitaro_client,RentCalcAreaID,99.50%,
chitaro_client,ApplyCap,0.00%,
chitaro_client,CommunityID,100.00%,
chitaro_client,SSMA_TimeStamp,0.00%,
chitaro_client,ExitDate,100.00%,
chitaro_client,ApprovedDailyRate,100.00%,
chitaro_client,Company,0.00%,
chitaro_client,LoungeKeyHolder,100.00%,
chitaro_client,ComplexEmergencyContact,100.00%,
chitaro_client,Translator,99.97%,
chitaro_client,Smoker,99.98%,
chitaro_client,MedicalConcerns,99.93%,
chitaro_client,MobilityIssues,99.95%,
chitaro_client,NextOfKinEmail,99.98%,from clearer overlap image
chitaro_client,NextOfKinEmail2,100.00%,from clearer overlap image
chitaro_client,OtherSkills,80.86%,from clearer overlap image
chitaro_client,OldIncome,81.08%,
chitaro_client,PreferredMeansContactID,86.85%,
chitaro_client,ElectronicDocumentConsent,0.00%,
chitaro_client,AccomExtension,100.00%,
chitaro_client,AsylumType,100.00%,
chitaro_client,Eligibility,100.00%,
chitaro_client,ProposedExitDate,100.00%,
chitaro_client,TenancyApproval,100.00%,
chitaro_client,ReferralDate,100.00%,
chitaro_client,SHRCategoryID,100.00%,
chitaro_client,Policy,100.00%,
chitaro_client,SHRPrimaryContactOrganisationID,100.00%,
chitaro_client,IntersexVariationID,98.39%,
chitaro_client,PronounID,97.96%,
chitaro_client,SexualIdentityID,98.13%,
chitaro_client,NDCAMeansOfConsentID,100.00%,
chitaro_client,NDCAConsentWithdrawnDate,100.00%,
chitaro_client,CRAConsentDate,100.00%,
chitaro_client,CRAMeansOfConsentID,100.00%,
chitaro_client,CRAConsentWithdrawnDate,100.00%,
chitaro_client,CIAConsentDate,100.00%,
chitaro_client,CIAMeansOfConsentID,100.00%,
chitaro_client,CIAConsentWithdrawnDate,100.00%,
chitaro_client,CpayDeductionConsentDate,100.00%,
chitaro_client,CpayDeductionMeansOfConsentID,100.00%,
chitaro_client,CpayDeductionConsentWithdrawnDate,100.00%,
