client,column,field,blank_rate,note
goldencare_client,AF,CRIID,0.02%,
goldencare_client,AG,ClientName,0.00%,
goldencare_client,AH,ClientNo,0.02%,
goldencare_client,AI,ClientType,5.51%,
goldencare_client,AJ,HSCaseManager,0.06%,
goldencare_client,AK,HSOffice,2.58%,
goldencare_client,AL,PreferredName,44.76%,
goldencare_client,AM,HSClientPostal,4.60%,
goldencare_client,AN,FirstName,0.03%,
goldencare_client,AO,LastName,0.02%,
goldencare_client,AP,Salutation,24.75%,
goldencare_client,AQ,HSClientAddress,3.43%,
goldencare_client,AR,HSClientCity,5.04%,
goldencare_client,AS,HSClientProv,2.38%,
goldencare_client,AT,HSClientCountry,78.64%,
goldencare_client,AU,MobilePhone,73.77%,
goldencare_client,AV,HSClientPhone,23.19%,
goldencare_client,AW,HSClientEmail,100.00%,
goldencare_client,AX,BirthDate,3.91%,
goldencare_client,AY,Sex,4.48%,
goldencare_client,AZ,HealthCardNumber,77.84%,
goldencare_client,BA,LanguagePreferred,27.53%,
